rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal
727.414121500651,669.9236303710937,728.2097393533458,745.8351440429688,652.6182556152344
729.5644996279761,670.60869140625,731.827023713485,747.6170959472656,653.4865631103515
731.2861822219122,675.2294897460938,737.6758276897928,747.5630493164062,650.9346282958984
727.8278767903646,675.397880859375,743.8473590353261,734.2095031738281,655.3740219116211
728.3101856050038,677.3658984375,751.807974110479,746.1836547851562,655.8070846557617
733.7607154482887,681.195361328125,744.0349014945652,740.2927551269531,656.3062622070313
728.4392360142299,679.6753857421875,743.7096252441406,751.9852600097656,653.7371368408203
728.7273937406994,695.5132006835937,760.2343842879585,754.5205078125,657.4963882446289
728.2043933686756,692.288818359375,761.8609977390455,737.7109680175781,659.3169097900391
734.3388340541295,689.1971850585937,765.1560430112092,745.8435668945312,656.8722930908203
732.4678803943452,683.175693359375,755.1664893108865,741.4309692382812,658.4163818359375
736.2084275018601,691.7189404296874,758.7244329037874,748.3561706542969,658.547755432129
736.8853730701264,693.72767578125,763.1696220066236,743.7289123535156,658.7162246704102
741.3596086774554,694.6004248046875,765.2509513523268,745.0624084472656,660.9273208618164
741.9243977864584,695.1526977539063,765.7500981869905,753.5963745117188,653.3551254272461
734.7220342726935,687.0763842773438,759.7997914189878,748.9499816894531,660.8151824951171
732.4383794875372,685.9162133789063,762.0894231381624,755.1955871582031,653.5773132324218
729.2177249000187,689.9320288085937,756.6840276303499,740.6275939941406,656.1651733398437
732.3979221888951,688.7356909179688,758.4981264860734,745.841796875,658.2249374389648
732.8885852632069,682.9960302734376,752.6518037215523,752.2493591308594,658.1619094848633
735.2490385509673,688.5740161132812,758.633336606233,758.0327758789062,659.8880035400391
729.9118396577381,685.5254809570313,754.3579234247622,763.9294128417969,655.4685836791992
728.1965826125372,681.9182666015626,748.5557091754416,736.2022705078125,656.6220840454101
724.7013901483444,686.613896484375,760.0970034391984,750.0424194335938,652.0391952514649
723.8260954357329,695.7504028320312,759.7859523607337,740.63134765625,654.9921173095703
720.4489958263579,689.8528247070312,753.667808201002,755.9599914550781,651.0712417602539
721.3043686639695,691.76607421875,748.7358133067255,749.8750610351562,654.6550277709961
723.3092107863654,690.8706909179688,749.4611590841542,740.4936828613281,660.203273010254
728.1050223214286,686.2324243164062,756.2847953464674,741.3209533691406,661.4588317871094
728.3804274786087,688.830419921875,756.9167374320652,742.8304748535156,660.1674545288085
729.592197672526,672.8563354492187,753.0270120371943,755.3710327148438,652.972071838379
726.3942612420944,686.8580395507812,752.0450784434443,755.7671813964844,658.6620712280273
717.3225338890439,679.055947265625,751.5917265518852,755.1111450195312,649.2073486328125
717.8571916852678,677.313349609375,747.0196612814199,741.56982421875,654.966081237793
718.0549630301339,681.8342553710937,748.092761495839,744.5834045410156,652.3572998046875
716.8690909249442,679.3163525390624,746.721804411515,748.8696899414062,655.5441040039062
721.4578034900484,675.9068432617188,747.4224574876869,748.111572265625,656.1962371826172
716.2843075706845,670.4996630859375,740.97088755732,766.7889404296875,651.5176345825196
718.1547886439732,679.9489868164062,742.700320036515,739.136962890625,656.3592712402344
719.4904820033482,682.6858569335938,751.4422474736753,752.3861083984375,653.3826461791992
717.9899318150111,675.5698681640625,749.3465018894361,754.1195983886719,650.0104354858398
714.296830531529,677.9003100585937,740.428931194803,740.7252502441406,652.4193511962891
715.5670389811198,669.0774829101563,743.5281106700068,745.4451904296875,651.907925415039
714.7589494977678,671.1502075195312,739.4783099630605,739.5418395996094,643.2114608764648
711.1525626046317,670.9638818359375,735.1171556555706,743.6072998046875,648.1225723266601
712.5367106119792,674.2863427734375,731.5937526537025,749.8035888671875,647.6816619873047
713.1587640671503,670.9768969726563,731.945104184358,745.25244140625,648.6747283935547
708.5050583612351,673.4588232421875,737.2878205672554,753.6893920898438,648.0417663574219
711.273443312872,663.4268139648437,735.2095137886379,768.4775695800781,644.9132308959961
709.7129499162946,663.5271020507812,722.3613626231318,752.0155029296875,645.3294525146484
716.6849461146763,660.037919921875,724.140517525051,760.3109741210938,645.3839096069336
711.7933035714286,667.36126953125,731.3996276855469,756.5279235839844,646.8030197143555
709.9603402273996,665.1770458984375,735.1730333411175,756.5420532226562,646.9178443908692
708.4251531691779,668.5514428710937,737.9414327870245,768.7842102050781,648.4478950500488
700.6205694289434,662.879453125,732.839415177055,756.0602722167969,643.2554817199707
