lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
539.684321812221,480.625069358132,446.882319859096,586.396406773158
542.943943568638,489.201862681996,449.665492466518,588.332897077288
544.001405988421,497.944893576882,448.479239327567,585.77713797433
537.916669573103,487.93203457919,450.320861816406,584.191408865792
535.375034877232,482.605890447443,454.014055524554,588.158660016741
539.704012189593,483.764776056463,458.803994315011,588.658840506417
542.233869280134,483.631292169744,455.091945103237,590.266812569755
543.409615652902,485.518521395597,453.787968226842,587.322486223493
541.354359218052,488.990023526278,445.62413242885,586.296363176618
531.93631199428,474.32930131392,451.379900251116,589.650226702009
532.396438598633,472.555114746094,460.125863211496,590.6126839774
537.199247087751,480.920060591264,446.247109549386,589.250387137277
532.064784458705,474.722098610618,449.303070068359,591.730582101004
528.650658743722,473.739341042259,463.429129464286,592.574749755859
532.4166935512,476.347628506747,467.510079520089,589.239012799944
531.454227992467,468.536540638317,455.073067801339,590.763799176897
540.586709158761,483.09297318892,457.141353062221,589.979447719029
543.124200003488,494.846923828125,452.143288748605,589.061777169364
543.09784589495,483.690834738992,452.94185093471,590.381253487723
536.639641898019,475.979367342862,459.658987862723,590.77039882115
535.67582484654,480.86469893022,450.431235177176,593.206505475725
535.256393432617,481.176338889382,452.596431187221,591.949893624442
531.597900390625,473.016840154474,457.592917306083,589.337072753906
530.228513445173,469.326546408913,452.836543491908,587.798005894252
531.220685686384,469.311942360618,449.349862234933,590.67229788644
532.974003383092,477.81816517223,455.569192068917,591.775519670759
534.54347882952,476.147674560547,447.568821498326,589.183006068638
530.034293038504,465.406743829901,449.31742640904,587.348543875558
534.455041067941,477.522211248224,455.418701171875,589.301729038784
533.620223999023,475.676574707031,454.495740618025,587.665452357701
531.108738490513,475.007515647195,454.032945905413,585.231176757813
534.009412493025,476.437072753906,453.388445172991,587.011229596819
535.357482910156,472.387459494851,456.330614362444,596.316108049665
535.538212367467,475.826446533203,451.949820382255,589.110044642857
533.115452357701,474.500990434126,454.238015311105,589.22749546596
532.265723092215,470.067804509943,454.600241524833,590.150641741072
536.010151454381,474.615400834517,451.095720563616,591.10493687221
535.826036725725,476.044966264205,454.44620186942,588.948634556362
536.060359409877,479.065315940163,454.588649204799,583.933641706194
534.956377301897,477.688454367898,454.175837925502,591.524355643136
532.959638323103,476.751437100497,444.631482805525,585.63569859096
532.218270438058,468.811304265803,449.745967320033,591.152362060547
532.965212140765,475.313767866655,455.412628173828,589.466497802734
532.722922188895,475.023997913707,453.416434151786,590.582679094587
533.819689069475,477.17294588956,458.903111049107,589.754337855748
538.011263166155,477.679118763317,451.793749128069,586.38131539481
536.104378836496,475.80717606978,451.772003173828,594.455959647042
534.839889526367,471.518490878018,451.519265311105,585.687736293248
532.989042009626,470.036535089666,461.902021135603,591.897208077567
533.210386003767,478.906191739169,461.768493652344,585.905525425502
537.514674595424,481.696499911222,455.827231270926,591.547790527344
532.818533761161,470.21279629794,455.990404401507,594.730493164063
533.43955557687,473.150687477805,454.973951067243,592.589805385045
536.375686645508,481.359472101385,454.318725585938,588.406277901786
536.963982718332,480.860479181463,446.70407976423,588.375522286551
530.997746058873,469.70326649059,463.683497837612,594.804718889509
531.433842250279,470.948145086115,460.660740443638,590.002879987444
535.049582345145,479.735945268111,448.095925467355,590.890507289342
533.796975272043,471.395480069247,446.10007585798,595.774857875279
533.484649658203,472.450952703303,448.489065987723,593.619508579799
530.621350969587,468.499262029474,449.038234165737,590.305038016183
526.971849714007,467.370985551314,448.831573486328,587.89261038644
528.350367954799,460.771323464134,444.016802106585,590.855113874163
526.871970040458,464.698486328125,458.148210797991,584.440926688058
531.441519601004,471.428278142756,436.591914585658,592.256717354911
527.387486049107,468.196755149148,463.834389822824,592.817658342634
531.713259015765,472.301058682528,446.767264229911,588.75504499163
532.105215890067,472.548234419389,452.263937813895,586.589622279576
534.085497174944,474.432955655185,447.485643659319,591.223042515346
531.721411568778,473.385001442649,444.526310511998,591.353604561942
531.939732142857,473.072079745206,450.378653390067,591.632272774833
527.397005353655,463.118144642223,467.132363455636,598.152830287388
546.032778058733,500.365786465732,433.787183489118,589.005619594029
522.356972830636,459.449343594638,450.682390485491,594.311117989676
528.9033203125,469.288798939098,449.761444091797,588.784157017299
521.198287963867,460.470986106179,463.831028529576,591.332847377232
518.659099033901,454.26513671875,445.795780726842,590.411194719587
519.254677908761,452.748920787465,446.82366507394,599.170411028181
521.998609270368,456.651813853871,444.206952776228,591.196820068359
527.486801147461,464.95971402255,442.602399553571,592.013762555804
526.8327091762,461.79238614169,451.739794049944,597.983762032645
531.728155953544,470.092923251065,449.172498430525,590.036687360491
530.137948172433,468.322251753374,439.560128348214,601.143059430804
529.383882795061,464.950181440874,456.96677507673,603.508847481864
528.912639072963,467.328879616477,450.265511648996,596.774712262835
530.896248953683,469.731603449041,453.755183628627,592.581070382254
535.344587053571,476.513300115412,451.035212925502,592.40886492048
533.0042048863,472.664803244851,455.773311070033,598.440386962891
528.459232875279,464.204986572266,450.863760811942,596.021303013393
527.79339163644,463.785724986683,447.197671072824,596.391599818638
530.653442382813,468.859155828303,451.142660958426,595.751956612723
529.152005876814,468.687733043324,459.588841029576,595.786699567522
528.197865077427,468.984713467685,454.979352678571,593.11875
530.148197719029,474.763064297763,451.966984340123,591.308871895926
529.738178798131,469.749128861861,454.370662144252,592.884853690011
528.553381783622,464.389235063033,452.942365373884,593.488820103237
528.320129394531,468.366421786222,452.389190673828,596.201451764788
