rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
814.01429043297,818.6337280273438,820.617507996598,701.2461583754596
815.1398730879071,823.4562377929688,819.6977119755938,697.9639497644761
814.5485085880055,819.1934000651041,817.7976869412554,692.8007543227252
812.2752926610098,821.3160400390625,819.4661929122801,694.4883763930377
811.8304504907431,828.0604248046875,819.277512465066,704.4658221076517
814.2463558421415,824.7132568359375,820.1639871984962,711.0080422794117
811.8013926273635,826.4709269205729,818.2641983032227,708.5872964298023
814.2697948808429,826.5292154947916,817.4427560945836,701.3395798627068
809.5766242532169,817.7195231119791,816.577780312639,715.3658949908088
812.8857293649882,821.115478515625,819.8193943674971,717.4934441061581
813.0996965680804,820.485107421875,819.5712940247079,725.7461224724265
814.3030954569327,826.105224609375,819.5510531789888,710.7673824534696
814.3475146894696,825.2317097981771,819.3675284657052,708.0363141228171
813.9908313911502,824.9036458333334,819.1825843128731,709.4822100471048
813.0500124121914,822.7719930013021,820.4301332303179,707.5563228831571
812.3613491539194,815.1400146484375,818.5286230071773,710.1119689941406
812.6323165252429,818.5600382486979,818.370540091662,709.5938253963695
816.6562464096967,817.7238362630209,819.0203177599403,701.7822875976562
814.184521586955,821.1689860026041,819.3311253989615,702.2961569393383
808.9708221179096,832.1044921875,818.9824328538848,699.261329202091
810.14340286896,820.7076822916666,819.4532967544184,692.5362010282629
815.6892889968487,835.9678955078125,819.1219169802782,692.983798756319
814.0681229278821,834.4116414388021,818.6184479628153,703.4881448184742
813.988825950302,826.7723795572916,818.301825670692,705.4860768037684
815.3616045783548,827.4395751953125,820.0931790979897,700.4741139131434
814.8941722196691,825.247802734375,817.5735317943542,708.8338820513557
815.043729381401,826.1046956380209,817.8808449225697,719.5985610064338
815.5545915876116,824.6834106445312,817.7991101024596,718.4439086914062
815.9360900366006,823.5424194335938,819.0241064056148,715.7471098058364
813.1250964252889,824.6896158854166,818.3890949652447,706.397408878102
812.8410572725184,823.7465006510416,817.2422143579498,703.0238432042739
813.5581285492713,825.8924763997396,819.1755033043341,706.4499188591452
813.2714325720523,828.2209879557291,818.4513429471148,710.4970469755285
816.3777794076615,828.3490600585938,819.5235735885497,714.3129954618566
813.2322197922138,837.1637573242188,817.0859331580682,712.483642578125
813.6274255063354,834.780517578125,817.6163297823774,718.60962452608
815.862050801766,831.7962239583334,817.340674113452,719.7213619456571
814.9750299533877,829.8441975911459,817.9031875114131,732.40919045841
813.0428748892135,824.4265340169271,819.126994001187,725.0666252585019
815.9404271229977,829.5323689778646,819.5967962993839,716.8675016515396
816.8376162232471,822.6341552734375,819.0922943363345,726.6363669002758
814.9720125599068,835.5203653971354,816.921424183419,720.9676711138557
813.136361771271,832.9694620768229,817.1113053608716,704.3696109547335
811.1146835198923,829.0357055664062,818.9872177248079,712.1597631117877
816.1493053275998,839.82421875,819.7843270650724,716.6514210420496
814.2792168625263,833.8806355794271,819.0167589885433,728.9382557588465
811.6028734736082,828.2712198893229,815.6689252155583,709.5661082548254
813.4185098599987,829.5671997070312,816.4960067873079,696.5060281192555
811.6996813862264,830.1147867838541,817.123107475963,699.3305322983686
811.6036884724593,824.9533894856771,818.0177776057545,706.9718789493336
813.2702723911831,834.0479125976562,816.7317096741219,692.1905068790211
809.1633577747506,828.7020060221354,819.4299497526836,688.6005769617417
810.2020509864102,827.614501953125,818.7022635607216,693.2639357622932
817.6623868541557,830.9622802734375,819.5059395146563,710.0483380485983
813.6015568580948,825.1493530273438,817.0740186489694,710.7297524844898
814.5598006048123,829.9835001627604,817.5518795106469,705.397071389591
810.8109551437763,834.7530924479166,817.7744306238686,701.790683521944
811.3845825195312,832.4423014322916,818.9153683049892,714.8344044404871
813.4717755998884,827.140625,819.6892776489258,716.714007209329
815.4063756606158,832.1342976888021,818.6442031240075,713.1799477969898
811.4254391453848,830.6900024414062,816.6996015223061,707.7987096449908
811.3110997817096,827.7122192382812,818.1505961224316,706.49682078642
811.3138453379398,831.4666544596354,818.8301389120459,710.2257205738741
815.8400155716583,824.5891927083334,818.1104810761242,715.0528528550092
814.1778687549238,830.2445271809896,817.7671941741695,711.0237552418429
813.847486992844,826.0254720052084,818.6293487548828,702.3531745461856
812.4175363749015,835.7394409179688,817.4186563259218,701.8627175723805
814.4008060743829,836.2391967773438,817.1495604476308,701.5709246467142
813.9879596614036,833.8981730143229,818.639574252493,699.9916399787454
811.2805888712907,836.2177327473959,816.7599722389283,699.5513431324679
812.2153315183496,833.6253458658854,818.805869187766,695.1888212316177
808.565374294249,835.1913655598959,815.0065324984915,702.2279788746554
813.9389622792477,834.8440755208334,816.5988131267269,701.9074258243336
815.836857643448,831.2922973632812,818.9900646674923,715.8016142003677
816.6095422055541,837.9026489257812,817.685676264569,710.3825019387638
814.7510617039785,834.6653442382812,816.3791418308165,713.3869539148667
813.6344271106881,833.6156819661459,817.4199609523866,719.1209303911994
814.3254845883666,833.72900390625,816.0353238485693,716.5377681956571
818.9898676511621,832.69873046875,819.0676443208524,721.3883002786075
817.1867465492056,826.1006266276041,817.8418633685849,718.3390897863052
814.6920124983587,829.9907836914062,817.5496926656583,714.5736101935892
814.8648373900342,835.6901245117188,816.6638191657338,712.2791029986213
