rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
724.5109354198781,699.0005976689326,737.9107488816784,707.4302398681641,634.33094208816,760.3823974609375
724.4214587703414,702.8895798720323,739.7428540402548,708.6750183105469,633.8592518773572,760.9928100585937
721.4678898285323,700.0768733829647,738.8948096945031,706.58271484375,635.8667171083648,757.799951171875
722.8343249949639,704.9854851264458,743.6644119754915,707.942138671875,638.0315109779095,760.0796142578125
723.4170862719617,702.1067825911881,743.7827919328183,708.1146301269531,642.5480367726293,756.2637329101562
727.0325730670194,702.5602496258624,742.8852152859898,713.9204071044921,643.5031085836476,756.4225952148438
721.8645428713127,700.8891030844156,736.2476467388144,704.7382202148438,638.8274430899785,755.7423095703125
721.0580302011806,703.6549504267705,736.1259707315979,704.5165344238281,640.3523980502424,757.3857666015625
722.8139616277721,701.384929706524,736.0216911069808,706.6182342529297,642.8147372541756,756.644091796875
722.6525561413957,704.5036585423853,733.6311706845872,702.3458557128906,642.5322781266838,755.2616821289063
721.0091668372731,704.2971254819399,736.7671049132241,706.8975891113281,639.9753502155172,758.6695190429688
723.3315799182841,702.8685837782823,739.4341320861362,705.9681518554687,636.977809511382,760.2635498046875
722.7357466488141,701.1278694450082,737.0610702173882,705.3420501708985,640.4838309452451,757.80537109375
722.9623781897027,701.3015164462003,737.8134249173678,709.4515350341796,633.2232445026266,756.5041137695313
722.7417108510107,703.7433301256849,736.036851225065,706.7453033447266,632.1747436523438,759.5888671875
721.4305248174967,701.4785964767655,737.5817732515169,707.1330200195313,636.6485216864224,757.3117919921875
719.1006378721229,701.1828732180905,734.4598103942113,703.9087554931641,638.4494229020744,753.1065551757813
723.3585661473296,699.7480012967989,738.0359263076972,706.4298889160157,639.4846917514143,760.5704223632813
723.5799424380999,701.1317594453886,741.4843820425181,709.4211547851562,638.6980233028017,758.4212280273438
724.386554940399,704.9713562804383,741.0223520435115,707.9650695800781,642.8182373046875,760.4465698242187
726.3440944517674,704.2448663092279,743.233156720107,709.0783905029297,651.8208397174703,761.290869140625
729.850962549047,705.5342189243862,748.9080972600516,714.0818572998047,650.3123979239629,756.6809326171875
723.604205760186,705.2570753221388,745.3003994395065,710.9687286376953,651.9735138991783,755.68046875
723.883020854317,704.9075456099076,739.7540251398204,708.9117248535156,655.6312434755523,762.414794921875
720.8284609670596,705.0161295308695,738.4352461670528,706.5471099853515,654.57568359375,756.9101196289063
721.5840837966166,705.0256831181514,736.0144527615151,702.5118103027344,654.5375218884699,755.6025268554688
722.2535212221702,701.2657427106585,736.3516062696282,699.3798797607421,652.6140431371228,760.3494506835938
722.2044768055458,703.5335257393973,736.8507292110926,706.3688262939453,654.2480973868535,760.7284545898438
721.7504421627575,704.1566629781352,737.3051203498178,702.4669250488281,649.5339176572602,758.8495727539063
720.3604098606537,703.3755330667867,735.1437125004846,696.4568664550782,640.0913096460803,758.2074584960938
723.6204053254405,703.6313222909903,739.03955040262,702.4436218261719,642.3628960971174,756.9606201171875
725.8175721446495,704.3017899154069,740.4814145677439,701.8042877197265,647.3626656367861,766.262451171875
727.0779959503311,704.6026690594562,744.5364579042193,702.6986572265625,641.3575397359914,766.3959594726563
724.8081766308156,707.1718880789621,743.4516753014501,702.2555297851562,634.3432038405846,759.5659790039062
723.9223757346115,702.643431428191,740.219234419224,699.1582214355469,634.6371070598734,760.6694946289062
722.7604781351816,698.5305805949422,740.1023736769154,702.1802032470703,620.1591365419586,761.0275634765625
728.0066292253845,707.1948896135602,748.1554522644498,705.896450805664,621.3750515641838,768.1735473632813
728.2520129969301,704.7654161329393,746.6266565062568,707.9034545898437,633.7332100703799,768.4561401367188
726.7978165972928,704.658894328328,746.5533145876144,705.0563903808594,634.0166120858028,770.4734741210938
722.6917504280672,705.8670547287186,740.2814756634809,700.5035919189453,633.7947250892377,763.5513793945313
723.5771509008023,706.787372935902,741.6052779204792,699.1042785644531,634.0519367086476,764.13388671875
721.3959607179924,703.1352479612673,738.6546448359715,699.4488861083985,633.3358575228987,761.9993286132812
720.1260266496462,704.4238737032011,740.9806791925548,699.1118896484375,636.7442858465787,759.6846313476562
721.9820365050448,704.8435450962612,737.2866856123022,698.1340850830078,640.595143285291,762.0928588867188
723.2746390441073,705.0902793190696,740.9084814937771,700.70458984375,635.4922380118535,761.8786376953125
720.095745343264,706.231015292081,740.5221933218149,698.4356811523437,637.6942717453529,759.5726196289063
725.3937048120883,708.5848955426898,743.1528788299182,700.6456512451172,648.8824410274111,764.0321044921875
723.4242229376139,708.5629522150213,740.8509677479935,698.3720703125,644.5939110065328,764.9427001953125
722.5117823168836,707.1273284515777,739.9683824259945,697.5682006835938,640.7110343143858,759.3362915039063
721.9087174077739,705.7987171519886,740.5598011253489,697.3423309326172,647.7970802044047,762.468212890625
726.2965936361406,702.23187731458,743.0860737310745,696.7340118408204,641.3565273942619,757.4771850585937
726.1128147279201,700.4578037014255,745.6795709576855,699.2035980224609,634.4153621278961,756.9060424804687
726.9269439970966,702.3853918298498,746.5902304448206,704.9919555664062,630.9889515843885,762.6480590820313
724.8967142147868,702.5430828936688,742.9034072838114,701.8595031738281,635.4814989813443,758.7911743164062
725.5304660540526,704.0092765510856,741.5906380021543,699.5213745117187,636.5110831425108,759.1172485351562
723.3893806218032,705.8692440676999,738.4562396861188,698.6320770263671,633.5245445514547,763.2367919921875
722.7207640917312,703.5534014020648,738.430647251328,691.9010711669922,631.1204981310614,764.88408203125
