id,time,value
UPENN-GBM-00029_lh_volume_superiorfrontal,11,452.13763427734375
UPENN-GBM-00029_lh_volume_superiorfrontal,12,446.6170043945313
UPENN-GBM-00029_lh_volume_superiorfrontal,13,457.9959564208984
UPENN-GBM-00029_lh_volume_superiorfrontal,14,440.03346252441406
UPENN-GBM-00029_lh_volume_superiorfrontal,15,432.64654541015625
UPENN-GBM-00029_lh_volume_superiorfrontal,16,411.2430267333984
UPENN-GBM-00029_lh_volume_superiorfrontal,17,437.7956085205078
UPENN-GBM-00029_lh_volume_superiorfrontal,18,405.41087341308594
UPENN-GBM-00029_lh_volume_superiorfrontal,19,325.26690673828125
UPENN-GBM-00029_lh_volume_superiorfrontal,20,220.1115264892578
UPENN-GBM-00029_lh_volume_superiorfrontal,21,162.18869018554688
UPENN-GBM-00029_lh_volume_superiorfrontal,22,172.33164978027344
UPENN-GBM-00029_lh_volume_superiorfrontal,23,141.61419296264648
UPENN-GBM-00029_lh_volume_superiorfrontal,24,215.88944244384768
UPENN-GBM-00029_lh_volume_superiorfrontal,25,230.8884735107422
UPENN-GBM-00029_lh_volume_superiorfrontal,26,284.8849334716797
UPENN-GBM-00029_lh_volume_superiorfrontal,27,314.65057373046875
UPENN-GBM-00029_lh_volume_superiorfrontal,28,333.26564025878906
UPENN-GBM-00029_lh_volume_superiorfrontal,29,337.513671875
UPENN-GBM-00029_lh_volume_superiorfrontal,30,326.29209899902344
UPENN-GBM-00029_lh_volume_superiorfrontal,31,359.6673278808594
UPENN-GBM-00029_lh_volume_superiorfrontal,32,337.8392944335937
UPENN-GBM-00029_lh_volume_superiorfrontal,33,303.56373596191406
UPENN-GBM-00029_lh_volume_superiorfrontal,34,340.7142333984375
UPENN-GBM-00029_lh_volume_superiorfrontal,35,354.4508209228516
UPENN-GBM-00029_lh_volume_superiorfrontal,36,345.9981384277344
UPENN-GBM-00029_lh_volume_superiorfrontal,37,357.0367584228516
UPENN-GBM-00029_lh_volume_superiorfrontal,38,355.80213928222656
UPENN-GBM-00029_lh_volume_superiorfrontal,39,363.3071899414063
UPENN-GBM-00029_lh_volume_superiorfrontal,40,389.533432006836
UPENN-GBM-00029_lh_volume_superiorfrontal,41,389.7218322753906
UPENN-GBM-00029_lh_volume_superiorfrontal,42,361.38368225097656
UPENN-GBM-00029_lh_volume_superiorfrontal,43,381.2386016845703
UPENN-GBM-00029_lh_volume_superiorfrontal,44,353.79136657714844
UPENN-GBM-00054_rh_volume_superiorfrontal,0,24.225919675267424
UPENN-GBM-00054_rh_volume_superiorfrontal,1,23.856722802836533
UPENN-GBM-00054_rh_volume_superiorfrontal,2,24.29331306750773
UPENN-GBM-00054_rh_volume_superiorfrontal,3,23.843545599605548
UPENN-GBM-00054_rh_volume_superiorfrontal,4,24.097656122846143
UPENN-GBM-00054_rh_volume_superiorfrontal,5,23.87365872848216
