rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
920.4368781195747,919.3949419752996,881.3340440853622,852.2004191080729
922.1261939154731,922.2495447603384,881.8767990703731,847.7044067382812
922.9127051459418,923.205583844866,881.5211042537246,844.1468505859375
917.9538292778863,923.4834144993832,882.9476188718811,850.7054036458334
916.0820661756727,921.2491280691964,881.9191543460817,852.5137532552084
916.5459208170573,917.615966796875,879.7796875,847.8709920247396
916.3114145914714,915.11899560914,879.0353745571402,849.7980550130209
915.6082963731553,914.6049611944901,878.6465980234073,849.4513549804688
919.1216925726997,913.4857411778959,880.0626603947129,850.2897338867188
919.0900014241537,910.7920977370184,878.7253410398498,844.0944010416666
919.1254245334202,915.4992166390097,880.6354301038639,845.5537516276041
920.008011203342,917.5442105630286,880.2163862834606,852.1738077799479
916.6993503146701,917.60407641418,879.251197897741,848.9388020833334
916.7532050238715,920.9327911147498,879.393358050206,854.3608194986979
916.1952236599392,921.0960156433564,880.2809529622396,859.2353515625
918.8370561387803,916.0355013510339,881.8195162041243,846.4374796549479
918.2860599093967,921.2168368002526,881.2330724435259,843.8971964518229
920.7299055311415,918.9241677191025,882.060955952489,849.0945027669271
924.8865227593316,921.227883245712,880.4613132683805,848.7258707682291
921.7950517442491,917.5136530596511,880.757184074461,849.4256388346354
919.008676147461,919.508897365484,880.2928886945857,848.9443969726562
918.1129618326823,916.7596380477561,877.6456452125727,853.8372192382812
920.8399990505642,918.0108628810797,880.4243594620579,846.7962443033854
922.1210608588325,919.8454833066553,880.9626424153646,851.4901529947916
920.1561099582249,917.4902715467869,879.8326576883479,849.3250528971354
927.0998182508681,919.4063270970395,884.6417453026587,851.7240397135416
924.733206515842,919.1412367282953,881.084781522529,847.9621175130209
920.9102678087022,914.8096116144854,878.6367501665455,850.7154134114584
921.0227600097656,915.9083756755169,878.3305906310562,851.934814453125
918.9458574083117,916.8212133421933,881.73583728879,846.4488321940104
921.1364264594184,916.3873782050341,880.274188942133,852.8021240234375
