"","Gene","GSM2193391","GSM2193392","GSM2193395","GSM2193396","GSM2193439","GSM2193440","GSM2193441","GSM2193442","GSM2193488","GSM2193499","GSM2193540","GSM2193544","GSM2193577","GSM2193623","GSM2193653","GSM2193683","GSM2193684","GSM2193686","GSM2193719","GSM2193732","GSM2193733","GSM2193771","GSM2193773","GSM2193774","GSM2193778","GSM2193804","GSM2193823","GSM2193835","GSM2193836","GSM2193849","GSM2193859","GSM2193860","GSM2193861","GSM2193898","GSM2193904","GSM2193917","GSM2193927","GSM2193931","GSM2193933","GSM2193971","GSM2193977","GSM2193978","GSM2193998","GSM2194060","GSM2194077"
"11","C9orf39",4.03751528393396,4.14112362187389,4.95446364651655,4.25644252323178,4.80102743599986,6.43054647406659,4.47794128103956,4.62094344140383,4.2939360560562,4.33432880466139,4.33477042799514,4.22225173266843,4.08580826952578,4.310224454869,4.03830933828904,4.75621566679156,4.16495678280569,4.32541938004943,4.88824446234257,4.39941523310003,4.48203143516529,4.15525476544965,5.69333381003669,3.94760153713112,4.65981073622952,4.20139812099364,4.48757829751921,4.69289852723841,4.23614429732595,4.70660372478842,4.1276003405399,4.70969575523683,4.13968233624573,5.06821687888893,4.4248232841573,4.63612894881407,4.23977943511995,4.05217116778968,4.42641871495479,4.17108270620156,4.03131822676941,5.98892213870769,4.12594485658423,4.25969471046002,4.19011854857882
"12","PKNOX2",7.71969055834644,6.14665490270088,5.67417049670395,6.2640714323809,7.72219851974579,7.22001085560715,6.53456660806587,6.01815636287256,5.68978165516332,6.12181820606456,6.42901845495748,4.9071518938494,5.99007824841709,5.57035349726816,5.19515064446629,4.97598515957584,5.00821573525569,5.78407865332137,5.40706635166299,4.71703950386106,6.37475030575766,6.34879567958119,5.26810333561092,7.25380421401061,5.83794354977602,6.88902828524808,4.72037411677718,6.54288532970761,5.79229741913586,6.24849020334459,5.66890986449024,6.52947404485435,6.6190044439977,7.33210663552674,5.36271705973628,4.98508319565688,5.77006124223669,5.07420925869878,5.7249379333411,5.58188910977522,5.20257299944617,5.88803473283451,5.44919941159561,5.88458715998266,6.15278909798033
"13","RALYL",7.51207106453074,5.55870143463153,4.30048634762559,6.40487298693679,6.379230146565,5.57311621681869,4.62470656150863,4.79132328704135,4.0348760192397,4.42675217517637,4.41204646027943,4.79939912238712,5.08872953411106,4.43764096750105,5.77837626528043,4.68495221345289,6.04033521127128,7.83328669041159,6.13272218402498,3.87431801542729,4.9603182239097,6.01904159426827,5.63141621711852,9.58568292812121,4.60002131838217,5.67217043442022,4.30068337501027,6.32301997780735,4.33072161224952,5.11463086749046,4.73803389872537,4.1002876150184,7.49705376137774,5.26736693015461,4.74043402642814,4.1566430938233,6.88431102773344,5.67375882528476,6.62132395196261,5.13124342660686,4.20593684441484,5.62615584858588,4.28708571369601,4.58370671028872,6.11617498071126
"14","ZHX3",6.60038299805168,7.24502921283393,6.3702660906771,6.09816640896609,7.0326312965555,6.50690256448085,6.24576057098871,7.04295399984426,6.25351238950178,5.77442795911542,5.24269643065569,6.26107927273362,6.6833992376724,6.33824441397675,6.26268629961853,6.51207287348204,5.54711564021194,5.71889289034942,6.39412679000217,5.55577301134012,6.57320707589905,6.77830447033604,6.19064999020506,6.33669818443843,5.98971385379006,5.72192327022166,5.0651243686696,7.05725487839795,6.55329566529795,6.73844577719047,6.58229292539172,6.09510030931912,7.22847552824631,6.76695506881278,6.62057960943086,6.6311153158644,6.89638700998489,6.93162239887864,5.73320776774302,6.62918817148006,5.64806557156586,6.85574410418392,7.0641709097998,6.78893146110306,6.02576274296792
"15","ERCC5",7.08075280605195,7.2197934877628,6.47725800689469,7.26255584207068,7.8126126180269,6.75143444571302,6.32216389822657,6.80077462324383,6.26591044080183,6.53506922747434,6.7289199699482,6.02719513907604,6.07682570704739,6.35046889327358,6.2429966999025,5.42387863906204,5.33059005269726,5.93374188447385,7.39987100914328,6.39104871416037,7.01060220174595,7.08832160859924,5.9906607595588,6.82319879807412,6.60981719375548,6.61714491546232,7.90668493556213,7.49637923766185,6.37870444260771,7.45620449426518,6.79413997360215,6.76766933259221,6.60712077251059,7.18450401117634,7.1300638230571,5.84847566502651,6.92297476841186,6.37400282003581,6.34633044243854,6.38456942501077,6.8152682625117,7.0428169375544,6.53338831569505,7.15670218467486,6.6209743064175
"16","RXFP3",3.78603276686544,3.69935725022812,3.77616301834121,3.86973671983002,3.73929627683307,3.58935946659753,3.76850934483989,3.77076489822747,3.73266895757637,3.72388963005414,3.69977798883512,3.80211320765439,3.68635668240583,3.77519722153428,3.78755079409065,3.8745215873053,4.11279645572413,3.72286953314462,3.89506340877143,3.85434984894159,3.81321371115123,3.66772790452161,3.53885508366717,3.75512932772033,3.72644789524157,3.53494412318729,3.99487278223312,3.76352260361533,3.97625626910944,3.51342653890944,3.76941737717647,3.71031490154654,3.82297074315672,3.4156676350642,3.67134928708864,3.94683498998136,4.00426367869838,3.90262186853896,4.01149344400995,3.81925593919212,3.8311921199502,3.76113636015497,3.93320717116167,4.00387969478436,3.92749487417457
"17","APBB2",8.49346959166019,6.94055556038256,4.92969771420196,5.2378672697478,5.60544052008215,8.02962777890869,5.8013143509637,6.51429737228833,6.40243896621516,6.55209410379852,6.93168370982736,7.52097673092811,6.18010978099503,6.07581288792632,8.16568877921776,5.38746611274925,4.8127315838565,5.76487007254361,4.61389015959919,5.2859970327237,5.79740673714647,7.13327613151009,6.17691058393817,5.60697985697675,6.09726428873438,5.83219322567225,4.17886936142477,7.24427904418951,5.40946785282204,5.42182663829628,7.62968456587892,6.73853607575042,8.14297706001455,6.40833738644532,6.62619373348727,7.96894226868217,5.22949787582844,6.85806971172586,8.12020148393241,5.81048240018118,5.97620967441797,7.1662125888513,7.35644256689865,5.55914249122059,7.38977166925289
"18","BBOX1",9.93620550560416,10.0822059023939,9.04348743382137,8.90755250815439,9.82029477362337,10.479193233826,6.86976166060348,9.27894863444145,8.1560321407906,9.2074309946247,8.1013696539708,10.1582697538759,9.08263440008934,7.3248031171782,9.31387060663176,9.76765559425668,6.97354051370642,8.13901121113714,8.01188888226237,3.48060360337828,8.53759107560823,9.87947051222355,9.057316530623,6.87855576106294,8.94104572520257,8.52826153323478,3.76880683707318,7.70917786118707,7.68691114327688,6.87877968650654,8.15789043067936,6.73235874261494,8.66572365460763,8.576374201614,8.21766045349913,9.7123905557847,9.78177001203412,9.51649175606981,9.1525423302502,9.40706829718622,6.78251877359983,9.34578787363164,11.1413564454519,9.03776544145677,7.8319335460534
"19","PRO0478",3.75124145281098,3.69166344748353,3.61947536072804,3.84808486344498,3.7725601407065,3.69339283754669,3.61646280519447,3.61078076715694,3.91861278605558,3.94241508195891,3.6440240350779,3.88447965728581,3.59812328337746,3.5451927450601,3.96080004229977,3.68522220004046,3.71777367781562,4.0435979014367,4.25255543153652,3.58367021775459,3.78619333778916,3.64348939358755,3.87748513423261,3.71554657415035,3.62861407546338,3.5058943984463,4.34276307032733,3.80154772954783,3.9880929667902,3.90483919636089,3.88693661673787,4.03779325267482,3.65459047075669,3.55635309026378,3.66363899105248,3.60713872470313,3.79870148751911,3.63281885433029,3.83192253182201,4.07487071458605,4.29140034115845,3.67955891742076,3.7349682847808,3.57374621721186,3.67499714973317
"20","GCSH",10.0904558745205,10.4450339222455,8.30968686584647,9.25463810567051,8.89581553035436,10.1532336375138,9.85966909025075,9.51511256436144,9.23133369933501,10.3311048717448,8.63757123429525,9.69580844636908,9.39155315879083,8.89069632262868,10.3510475944932,8.85426689659467,8.08497605576115,9.5670764162653,8.01855863833214,8.73202330003631,9.46713497545252,11.0378453553812,9.29404406893383,9.02806253050818,9.44769178829827,9.26675780813839,10.7450805349396,9.5452654626519,8.59591987723663,8.6788480045116,9.56546390173688,9.17720554362183,10.4564096913542,9.50719712056654,9.8664742347055,10.9898426320839,10.2921005652204,10.0201516949527,9.8833911373125,9.07627134639405,9.61820310684774,10.2311798630762,10.0369375609451,9.44446101564872,10.1357714321108
